job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary<=15K,demand
数据分析师,"数据统计分析,office,统计软件,统计学",北京,北京一拍在线国际拍卖有限公司,20-99人,5.5,TRUE,大专
数据分析师,"Python,SQL,R语言,数据分析",北京,北京百世百诚教育科技有限公司,20-99人,12.5,TRUE,本科
数据分析师,数据分析,北京,经国资本管理集团有限公司,500-999人,12.5,TRUE,本科
数据分析师,"数据分析,数据建模,SQL,Python,解决方案",北京,北京百川聚才人力资源顾问有限公司,1000-9999人,12.5,TRUE,本科
数据分析师,"大数据分析,SQL,SQL Server,Python,爬虫",北京,合肥观维科技有限公司,20-99人,30,FALSE,硕士
数据分析师,"数据采集,数据分析",北京,北京金旭英联科技有限公司,100-299人,9,TRUE,本科
数据分析师,"数据分析,需求分析,商业分析,Python,商业数据分析",北京,北京一多奇思信息科技有限公司,100-299人,13.5,TRUE,本科
数据分析师,"Tableau,数据分析,数据清洗,MySQL",北京,北京五八信息技术有限公司,10000人以上,12.5,TRUE,本科
数据分析师,"数据分析,报告撰写,入校解读",北京,麦可思数据科技(成都)有限公司,100-299人,12.5,TRUE,硕士
数据分析师,"Tableau,数据分析,SQL,BI,Hive",北京,智联招聘,1000-9999人,16,FALSE,学历不限
数据分析师,"Python,数据分析,SQL,数据架构,爬虫",北京,普信恒业科技发展(北京)有限公司,10000人以上,17.5,FALSE,大专
数据分析师,"数据分析,SQL,数据挖掘,数据清洗,数据建模",北京,南京三眼精灵信息技术有限公司,20-99人,9,TRUE,本科
数据分析师,"数据挖掘,行业分析",北京,柏睿数据,100-299人,11.5,TRUE,本科
数据分析师,"数据分析,数据监控,BI,SQL,Hive",北京,北京五八到家信息技术集团有限公司,10000人以上,20,FALSE,本科
数据分析师,"数据分析,数据监控,商业数据分析,大数据分析,需求分析",北京,智网科技,500-999人,24,FALSE,本科
数据分析师,Python,北京,深圳市拓保软件有限公司,1000-9999人,9,TRUE,本科
数据分析师,"Python,SQL,MySQL,数据架构,需求分析",北京,上海浩方信息技术有限公司北京分公司,500-999人,17.5,FALSE,本科
数据分析师,"Tableau,MySQL,数据分析",北京,好未来,10000人以上,16,FALSE,本科
数据分析师,"SQL,excel",北京,Wisers Information Limited,1000-9999人,17.5,FALSE,本科
